"participant","expertise","recruitment","piece","version","liking","3d_impression","items","imei1","imei2","imei3","imei4","imei5","imei6","imei7","imei8","imei9","imei10","imei11","imei12","imei13","imei14","imei15","imei16","imei17","imei18","imei19","imei20","imei21","imei22","imei23","imei24","imei25","MFRM"
8,0,1,2,1,4,3,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1
9,0,1,2,1,2,2,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,2,1,3,2,"1-25",2,4,3,3,2,3,3,2,2,2,3,1,2,3,4,3,2,2,2,1,3,2,2,2,3,1
11,0,1,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
12,1,1,2,1,1,2,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1
13,0,1,2,1,2,1,"1-25",2,3,2,2,2,1,2,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,2,2,1
14,0,1,2,1,4,1,"1-25",1,3,4,3,2,2,4,2,3,3,3,2,2,2,3,2,3,2,2,2,2,1,1,2,2,1
15,0,1,2,1,3,2,"1-25",3,3,4,3,2,2,3,2,3,3,3,2,2,2,3,3,2,2,3,2,3,2,3,2,3,1
16,1,1,2,1,2,2,"1-25",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
17,0,1,2,1,2,1,"1-25",1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
18,0,1,2,1,4,4,"1-25",4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,1,4,4,4,4,4,1
19,0,1,2,1,2,1,"1-25",1,2,2,2,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1
20,0,1,2,1,1,1,"1-25",1,2,2,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,2,2,1,2,3,1,1,1
21,0,1,2,1,2,3,"1-25",2,2,2,2,2,2,2,2,2,2,3,1,2,1,1,2,2,2,2,2,2,2,3,2,3,1
22,0,1,2,1,3,3,"1-25",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
23,0,1,2,1,3,2,"1-25",2,1,1,3,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1
24,0,1,2,1,4,3,"1-25",3,4,4,4,4,3,4,3,3,3,4,3,3,4,3,3,3,2,3,3,3,3,3,2,3,1
25,0,1,2,1,1,2,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,0,1,2,1,4,1,"1-25",2,2,3,3,2,2,3,2,2,2,4,2,3,1,2,2,1,1,2,1,2,1,1,2,2,1
27,1,1,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,0,1,2,1,2,2,"1-25",1,1,1,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1
29,0,1,2,1,2,3,"1-25",3,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1
30,0,1,2,1,2,2,"1-25",2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1
31,0,1,2,1,3,4,"1-25",4,4,4,4,3,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,4,3,4,4,4,1
33,0,1,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,0,1,2,1,3,1,"1-25",1,2,3,3,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1
38,0,1,2,1,3,2,"1-25",2,2,3,2,3,3,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,2,1
39,0,1,2,1,2,2,"1-25",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
40,0,1,2,1,2,1,"1-25",1,2,1,3,1,1,3,1,1,2,2,1,1,1,1,3,1,2,2,1,1,1,1,1,2,1
42,0,1,2,1,1,3,"1-25",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1
43,0,1,2,1,4,4,"1-25",4,4,4,4,4,2,3,2,3,2,3,3,4,3,3,3,3,3,3,2,2,3,4,3,4,1
44,0,1,2,1,3,2,"1-25",3,3,2,3,3,2,3,2,2,3,2,2,2,2,2,3,3,2,2,2,3,2,2,2,3,1
46,0,1,2,1,4,2,"1-25",2,4,2,3,2,2,2,2,3,2,2,3,2,1,3,3,3,1,2,1,2,2,2,2,2,1
47,0,1,2,1,1,1,"1-25",1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
49,0,1,2,1,2,3,"1-25",2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,3,2,1,2,2,2,3,1,2,1
50,0,1,2,1,3,1,"1-25",1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,3,1,1,1,1,2,1
51,0,1,2,1,2,2,"1-25",2,1,3,2,2,1,3,1,3,1,1,2,2,2,1,3,2,1,2,2,2,2,1,1,2,1
52,0,1,2,1,1,4,"1-25",1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,2,1,2,2,2,1,2,4,2,4,1
53,0,1,2,1,3,2,"1-25",2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,1
54,0,1,2,1,1,3,"1-25",3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,3,2,3,2,3,1
55,0,1,2,1,2,2,"1-25",2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,1
56,0,1,2,1,4,4,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
57,0,1,2,1,3,2,"1-25",2,3,4,3,3,3,3,3,2,2,3,2,2,3,3,3,3,3,3,3,2,1,2,3,4,1
58,0,1,2,1,1,1,"1-25",2,1,1,2,2,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1
59,0,1,2,1,2,3,"1-25",2,1,1,1,1,2,2,4,2,1,2,1,2,1,1,2,3,3,2,4,1,2,2,2,2,1
60,0,1,2,1,2,1,"1-25",2,2,2,1,2,2,2,2,2,2,3,2,1,2,1,1,2,1,1,3,2,1,1,1,1,1
61,0,1,2,1,1,4,"1-25",2,3,1,2,3,3,3,3,2,3,3,3,1,2,2,4,3,3,3,4,3,3,4,3,4,1
63,0,1,2,1,1,1,"1-25",1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,4,2,1,1,2,2,1
66,0,1,2,1,3,1,"1-25",1,3,3,3,2,1,3,1,1,1,3,1,1,1,1,3,1,1,1,1,2,1,1,1,2,1
67,0,1,2,1,4,4,"1-25",4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,1
68,0,1,2,1,3,1,"1-25",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
69,0,1,2,1,3,2,"1-25",2,3,4,3,2,3,3,4,3,4,3,3,2,3,3,3,2,2,4,4,2,3,4,3,3,1
71,0,1,2,1,2,2,"1-25",1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,3,2,1,2,1,2,1,1
72,0,1,2,1,1,4,"1-25",3,2,2,2,3,2,2,2,2,2,1,3,1,1,1,3,1,1,1,3,3,3,3,1,4,1
74,1,1,2,1,3,2,"1-25",2,3,3,3,3,2,3,2,3,2,3,3,4,3,3,3,3,3,2,1,3,2,2,2,2,1
75,0,1,2,1,4,1,"1-25",3,4,4,3,2,2,2,1,2,2,2,2,2,2,3,2,1,2,2,1,2,2,2,2,3,1
76,1,1,2,1,2,2,"1-25",2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,1,2,2,2,2,3,1
77,0,1,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,0,1,2,1,3,3,"1-25",3,4,4,3,3,3,4,2,4,4,4,3,4,3,3,3,3,4,3,1,3,4,3,4,3,1
80,0,1,2,1,3,1,"1-25",2,3,2,3,1,1,2,2,1,2,3,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1
83,0,1,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
84,0,1,2,1,2,2,"1-25",2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,2,2,2,1
85,0,1,2,1,4,4,"1-25",4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,1
87,0,1,2,1,4,3,"1-25",3,4,3,4,4,3,4,4,3,3,3,3,2,3,3,3,3,2,4,2,3,2,3,2,3,1
88,0,1,2,1,4,2,"1-25",3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,1,4,2,3,3,3,1
89,0,1,2,1,4,4,"1-25",4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,1,4,3,4,4,4,1
90,0,1,2,1,3,4,"1-25",3,4,4,3,3,3,4,3,3,3,1,3,4,3,2,4,3,4,3,3,3,4,4,4,4,1
91,0,1,2,1,1,2,"1-25",1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,3,2,1,4,2,2,3,1,1,1
92,0,1,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,0,1,2,1,1,3,"1-25",3,2,1,1,2,2,2,2,2,2,1,2,2,3,1,2,2,2,2,4,2,2,2,2,2,1
94,0,1,2,1,3,3,"1-25",4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,2,4,4,4,4,3,1
95,0,1,2,1,3,3,"1-25",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
96,0,1,2,1,3,3,"1-25",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1
97,0,1,2,1,3,3,"1-25",3,4,3,3,2,4,4,4,3,3,4,3,4,4,3,4,4,3,3,3,3,4,4,4,4,1
98,0,1,2,1,2,3,"1-25",2,2,2,3,2,3,3,2,3,3,3,3,2,2,2,2,3,2,2,2,2,2,3,2,2,1
99,0,1,2,1,3,3,"1-25",2,4,4,4,2,3,3,3,2,3,3,2,2,3,3,3,2,2,3,1,2,3,2,2,2,1
100,0,1,2,1,4,4,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
101,0,1,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,1
103,0,1,2,1,2,2,"1-25",2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,1,1
104,0,1,2,1,4,1,"1-25",1,4,4,2,1,2,4,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1
105,0,1,2,1,4,4,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
106,0,1,2,1,1,3,"1-25",2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,3,2,1,1,2,1,2,3,1
107,0,1,2,1,1,1,"1-25",1,1,1,2,1,1,1,1,3,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1
108,0,1,2,1,1,2,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,2,1,1
109,0,1,2,1,2,1,"1-25",1,1,2,1,2,1,1,1,2,2,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1
110,0,1,2,1,4,4,"1-25",3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,1
111,0,1,2,1,2,2,"1-25",2,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,1,4,2,2,1,2,2,1
112,0,1,2,1,1,4,"1-25",2,2,1,2,3,1,1,1,3,3,2,2,4,1,1,3,3,4,3,2,2,4,4,2,4,1
114,2,1,2,1,3,3,"1-25",3,3,3,3,3,2,4,2,2,2,3,2,2,1,1,3,3,2,3,2,3,3,3,2,4,1
115,0,1,2,1,4,2,"1-25",3,4,4,3,4,3,4,3,3,2,4,3,1,2,3,2,3,1,3,1,3,2,2,2,3,1
117,0,1,2,1,1,3,"1-25",1,3,3,3,3,3,2,2,2,2,2,2,2,4,2,2,2,3,2,2,2,2,3,3,3,1
118,0,1,2,1,2,2,"1-25",1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1
119,0,1,2,1,2,3,"1-25",2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,4,2,2,3,3,2,1
120,0,1,2,1,1,2,"1-25",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1
121,0,1,2,1,3,2,"1-25",2,3,2,3,3,2,2,2,3,3,3,3,2,2,2,4,3,2,2,2,2,2,2,2,3,1
122,0,1,2,1,2,3,"1-25",1,4,1,3,3,3,4,1,3,2,4,3,1,1,2,3,3,2,2,1,2,3,3,2,2,1
123,0,1,2,1,4,1,"1-25",1,3,4,2,2,2,3,2,2,3,3,3,2,2,3,2,2,1,2,2,2,2,1,2,2,1
124,0,1,2,1,2,2,"1-25",1,3,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1
125,0,1,2,1,3,3,"1-25",3,3,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,3,1
126,0,1,2,1,1,1,"1-25",1,1,1,1,1,3,2,1,1,1,1,2,2,1,2,1,1,2,2,4,1,2,3,2,2,1
128,0,1,2,1,2,3,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1
130,1,1,2,1,2,2,"1-25",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1
131,0,1,2,1,4,4,"1-25",3,4,4,4,3,3,4,3,3,2,3,4,3,3,3,3,4,3,2,2,3,4,4,3,4,1
132,0,1,2,1,2,1,"1-25",1,2,1,2,3,2,3,1,2,2,3,2,1,2,1,3,2,2,1,2,3,2,3,3,4,1
133,0,1,2,1,3,2,"1-25",2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1
134,0,1,2,1,3,3,"1-25",3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,1
135,0,1,2,1,4,3,"1-25",3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
136,0,1,2,1,3,2,"1-25",2,3,2,3,3,3,2,2,2,3,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,1
137,0,1,2,1,4,4,"1-25",3,4,4,4,4,4,4,3,2,2,2,2,2,4,3,4,2,3,3,1,4,3,3,3,4,1
138,0,1,2,1,4,4,"1-25",4,4,4,4,4,4,4,4,1,3,4,3,2,4,3,4,4,3,3,1,4,3,4,4,4,1
139,1,1,2,1,3,1,"1-25",1,3,2,3,2,2,2,2,2,3,2,3,1,2,3,2,2,1,2,1,2,2,1,4,3,1
140,0,1,2,1,2,2,"1-25",2,2,2,3,2,2,2,3,2,3,3,2,2,2,1,2,3,2,2,1,2,2,3,2,2,1
141,0,1,2,1,3,3,"1-25",2,2,3,3,2,3,3,2,2,3,3,2,1,3,3,2,2,3,2,2,3,3,3,3,2,1
142,0,1,2,1,1,1,"1-25",1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1
143,1,1,2,1,3,3,"1-25",3,2,3,2,2,3,3,2,3,3,3,3,2,3,2,3,2,2,2,2,3,2,3,3,3,1
144,0,1,2,1,4,3,"1-25",3,4,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,4,3,3,4,1
145,0,1,2,1,3,4,"1-25",4,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,4,4,4,2,4,4,4,4,4,1
147,0,1,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
148,0,1,2,1,2,4,"1-25",3,3,4,2,2,3,3,3,3,3,3,3,2,2,2,2,3,3,4,3,2,3,2,3,2,1
149,0,1,2,1,1,2,"1-25",1,1,2,2,2,1,2,2,2,2,1,3,1,2,1,2,1,2,2,2,1,2,2,2,2,1
150,0,1,2,1,1,4,"1-25",3,3,3,3,3,2,3,2,2,2,2,1,3,1,2,3,3,3,3,3,3,3,3,2,3,1
151,0,1,2,1,1,3,"1-25",2,2,1,2,2,3,1,2,3,3,4,1,3,1,2,3,3,3,3,1,2,3,3,1,3,1
152,0,1,2,1,4,3,"1-25",3,4,4,4,3,2,4,3,3,3,4,4,1,1,1,3,3,2,2,1,3,3,4,2,3,1
153,0,1,2,1,1,2,"1-25",1,1,2,2,1,3,2,1,1,2,2,3,1,2,1,2,1,1,1,1,2,1,1,4,1,1
155,0,1,2,1,1,3,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,4,1,1,1
157,0,1,2,1,3,3,"1-25",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
160,0,1,2,1,3,4,"1-25",3,4,4,4,3,3,4,2,3,3,4,2,2,2,3,4,3,2,2,2,3,4,4,3,4,1
161,0,1,2,1,3,3,"1-25",4,3,3,4,3,3,4,3,4,4,2,2,4,4,4,4,4,3,4,3,3,4,3,4,3,1
162,0,1,2,1,3,2,"1-25",3,4,2,3,3,2,2,3,3,3,3,4,2,2,3,3,2,2,2,3,4,2,3,2,3,1
163,0,1,2,1,4,4,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,4,4,4,4,4,1
164,0,1,2,1,3,3,"1-25",3,4,3,4,4,3,3,3,3,4,3,4,3,3,4,4,4,3,4,3,3,3,3,3,4,1
165,0,1,2,1,2,2,"1-25",2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1
166,0,1,2,1,3,3,"1-25",3,4,4,3,3,3,3,3,4,3,4,3,2,3,3,4,3,2,3,3,3,2,3,3,3,1
167,1,1,2,1,2,1,"1-25",2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1
168,0,1,2,1,1,2,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,3,2,1,1,2,1,1
169,0,1,2,1,3,4,"1-25",3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,1,3,2,2,3,3,1
170,0,1,2,1,2,3,"1-25",3,1,3,3,1,2,4,1,3,3,1,2,2,2,3,1,1,3,2,2,2,3,2,1,2,1
171,0,1,2,1,3,3,"1-25",3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,3,2,1,3,1,3,2,3,2,3,1
172,0,1,2,1,2,2,"1-25",2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,1
173,0,1,2,1,1,2,"1-25",2,1,1,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1
174,0,1,2,1,2,1,"1-25",2,3,2,3,2,2,2,2,2,2,2,3,1,1,2,3,3,1,2,2,2,1,2,2,2,1
177,0,1,2,1,4,4,"1-25",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,4,4,4,4,4,1
178,0,1,2,1,3,3,"1-25",2,3,3,3,2,1,1,2,2,2,1,3,2,3,1,3,2,1,2,1,1,3,2,1,2,1
179,0,1,2,1,2,3,"1-25",2,3,2,3,3,2,3,2,3,2,3,2,2,3,2,3,2,2,2,3,1,3,3,3,4,1
180,0,1,2,1,3,4,"1-25",1,3,3,3,3,1,4,1,1,1,1,2,3,2,1,3,2,3,3,3,2,3,3,2,4,1
182,0,2,2,1,2,1,"1-25",1,2,4,3,2,1,3,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,2,1
183,0,1,2,1,3,3,"1-25",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
184,2,2,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1
186,2,2,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
187,0,2,2,1,3,1,"1-25",1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,1,1,2,2,1
188,1,2,2,1,3,1,"1-25",1,2,2,2,1,2,2,1,3,3,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1
189,1,2,2,1,3,1,"1-25",1,3,2,4,3,3,3,3,3,3,3,3,1,1,3,4,3,2,2,1,3,2,1,1,4,1
190,2,2,2,1,2,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
191,2,2,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1
192,0,2,2,1,2,1,"1-25",1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194,1,2,2,1,2,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1
195,1,2,2,1,1,1,"1-25",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1
196,1,2,2,1,3,3,"1-25",2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,3,1,3,2,1,2,2,2,2,3,1
197,2,2,2,1,2,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1
198,1,2,2,1,1,1,"1-25",1,2,2,2,2,1,2,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,2,1
199,2,2,2,1,1,1,"1-25",1,3,2,2,2,2,2,2,2,2,1,2,3,1,2,2,2,3,2,2,2,3,1,3,2,1
200,0,1,2,1,4,3,"1-25",4,4,3,4,3,3,4,3,4,4,4,3,3,3,3,4,4,4,3,3,3,4,3,4,4,1
201,0,1,2,1,3,1,"1-25",1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202,0,1,2,1,4,3,"1-25",2,4,3,4,3,4,3,3,3,3,2,4,2,2,4,2,3,2,4,2,2,4,2,2,2,1
203,0,1,2,1,4,4,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
204,1,2,2,1,2,1,"1-25",1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
205,1,2,2,1,3,1,"1-25",1,2,2,2,1,2,2,1,1,1,2,1,1,2,1,2,1,1,2,1,1,4,1,1,1,1
206,2,2,2,1,1,2,"1-25",3,1,1,1,2,3,2,3,2,2,1,2,1,1,1,1,3,1,3,4,2,2,3,2,2,1
208,0,2,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209,2,2,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210,0,2,2,1,4,4,"1-25",3,4,4,4,4,2,4,2,2,3,2,2,3,4,4,3,2,1,3,1,2,4,4,2,4,1
211,1,2,2,1,3,1,"1-25",1,1,3,2,1,1,3,1,1,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1
212,0,2,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
213,0,2,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214,1,2,2,1,3,2,"1-25",3,3,3,1,2,3,3,2,3,2,3,3,1,1,1,3,3,1,2,1,3,2,2,1,3,1
215,2,2,2,1,2,2,"1-25",2,1,1,3,1,2,2,2,3,2,1,2,1,1,2,3,3,1,2,3,1,2,2,1,3,1
216,0,2,2,1,1,3,"1-25",2,1,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,1
217,0,2,2,1,2,2,"1-25",1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1
218,1,2,2,1,1,1,"1-25",1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
219,2,2,2,1,3,1,"1-25",1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220,1,2,2,1,3,1,"1-25",1,2,2,3,2,2,2,2,2,2,2,2,1,1,1,3,2,2,1,1,2,1,1,1,2,1
221,1,2,2,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
222,1,2,2,1,3,1,"1-25",1,3,2,3,2,2,3,1,3,2,3,2,1,2,2,1,2,1,1,1,2,2,1,1,1,1
1,0,1,2,2,3,2,"1-25",3,3,2,2,2,2,2,2,3,2,2,2,2,3,2,3,2,2,3,2,2,3,2,3,2,1
2,0,1,2,2,3,3,"1-25",3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,2,3,3,3,3,3,1
3,0,1,2,2,3,3,"1-25",3,3,3,3,3,2,3,2,2,2,2,2,3,2,2,3,3,2,2,2,2,3,3,2,3,1
4,0,1,2,2,3,3,"1-25",3,3,3,3,3,3,3,3,2,2,2,2,3,2,3,3,2,3,3,1,3,3,3,3,3,1
5,0,1,2,2,2,3,"1-25",1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,2,3,1,2,1
6,0,1,2,2,3,2,"1-25",2,3,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,1
7,0,1,2,2,3,3,"1-25",3,3,3,3,3,2,3,2,2,2,3,4,3,2,3,3,3,3,3,1,3,3,3,3,3,1
8,0,1,2,2,4,4,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3,4,1
9,0,1,2,2,2,2,"1-25",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,2,2,3,3,"1-25",2,3,4,3,3,3,4,3,1,1,4,2,2,3,4,3,2,2,2,1,3,2,2,3,3,1
11,0,1,2,2,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
12,1,1,2,2,1,2,"1-25",2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,3,1,2,1
